id,name,domain,category_vi,latitude,longitude,address,district,description,search_text
NB_00527,Địa Tạng Vương Bồ Tát,Du lịch,địa điểm du lịch,20.2794089,105.8657119,"Gia Sinh, Gia Viễn, Ninh Bình",Gia Viễn,Địa Tạng Vương Bồ Tát là địa điểm du lịch tại Gia Viễn.,Địa Tạng Vương Bồ Tát Du lịch địa điểm du lịch Gia Viễn Ninh Bình
NB_00528,Oliu Sourdough Coffee,Ẩm thực,quán cà phê,20.2627331,105.9654131,"15 Ngõ 55 Thành Công, Tân Thành, Ninh Bình, 08116",Ninh Bình,Oliu Sourdough Coffee là quán cà phê tại Ninh Bình.,Oliu Sourdough Coffee Ẩm thực quán cà phê Ninh Bình Ninh Bình
NB_00529,Bie's Cafe,Ẩm thực,nhà hàng,20.2156029,105.9379745,"Tỉnh Lộ 491C, Ninh Hải, Hoa Lư, Ninh Bình, 08213",Hoa Lư,Bie's Cafe là nhà hàng tại Hoa Lư.,Bie's Cafe Ẩm thực nhà hàng Hoa Lư Ninh Bình
NB_00530,Tràng An Ecolodge,Du lịch,khách sạn,20.2681072,105.9117441,"Trường Yên, Hoa Lư, Ninh Bình",Hoa Lư,Tràng An Ecolodge là khách sạn tại Hoa Lư.,Tràng An Ecolodge Du lịch khách sạn Hoa Lư Ninh Bình
NB_00531,Starbucks,Ẩm thực,quán cà phê,20.2541643,105.9188807,"Đường Tràng An, Ninh Xuân, Hoa Lư, Ninh Bình, 08212",Hoa Lư,Starbucks là quán cà phê tại Hoa Lư.,Starbucks Ẩm thực quán cà phê Hoa Lư Ninh Bình
NB_00532,Trang An Green Bungalow & Restaurant,Du lịch,nhà khách/homestay,20.2626839,105.915076,"Trường Yên, Hoa Lư, Ninh Bình",Hoa Lư,Trang An Green Bungalow & Restaurant là nhà khách/homestay tại Hoa Lư.,Trang An Green Bungalow & Restaurant Du lịch nhà khách/homestay Hoa Lư Ninh Bình
NB_00533,Mom's Kitchen Restaurant,Ẩm thực,nhà hàng,20.2624835,105.9144815,"Trường Yên, Hoa Lư, Ninh Bình",Hoa Lư,Mom's Kitchen Restaurant là nhà hàng tại Hoa Lư.,Mom's Kitchen Restaurant Ẩm thực nhà hàng Hoa Lư Ninh Bình
NB_00534,Banh mi Hanoï,Ẩm thực,nhà hàng,20.214994,105.9397814,"Ninh Hải, Hoa Lư, Ninh Bình",Hoa Lư,Banh mi Hanoï là nhà hàng tại Hoa Lư.,Banh mi Hanoï Ẩm thực nhà hàng Hoa Lư Ninh Bình
NB_00535,Gu Coffee,Ẩm thực,quán cà phê,20.2156986,105.9386522,"Ninh Hải, Hoa Lư, Ninh Bình",Hoa Lư,Gu Coffee là quán cà phê tại Hoa Lư.,Gu Coffee Ẩm thực quán cà phê Hoa Lư Ninh Bình
NB_00536,Shizen Sushis,Ẩm thực,nhà hàng,20.2167087,105.9413695,"Đường Tỉnh Lộ 478B, Ninh Hải, Ninh Thắng, Hoa Lư, Ninh Bình, 08214",Hoa Lư,Shizen Sushis là nhà hàng tại Hoa Lư.,Shizen Sushis Ẩm thực nhà hàng Hoa Lư Ninh Bình
