id,name,domain,category_vi,latitude,longitude,address,district,description,search_text
DIA_SG02545,Phúc Long - Huỳnh Thúc Kháng,Ẩm thực,quán cà phê,10.7730412,106.7025775,"132 Tôn Thất Đạm, Bến Nghé, Quận 1, Hồ Chí Minh, 71006",Quận 1,Phúc Long - Huỳnh Thúc Kháng là quán cà phê tại Quận 1.,Phúc Long - Huỳnh Thúc Kháng Ẩm thực quán cà phê Quận 1
DIA_SG02546,Nhà Hàng Kyu Shige,Ẩm thực,nhà hàng,10.7731525,106.7022993,"Quận 1, Hồ Chí Minh, 71006",Quận 1,Nhà Hàng Kyu Shige là nhà hàng tại Quận 1.,Nhà Hàng Kyu Shige Ẩm thực nhà hàng Quận 1
DIA_SG02547,Cà Phê Royaltea,Ẩm thực,quán cà phê,10.7752924,106.7028656,"84 Đường Nguyễn Huệ, Bến Nghé, Quận 1, Hồ Chí Minh, 71006",Quận 1,Cà Phê Royaltea là quán cà phê tại Quận 1.,Cà Phê Royaltea Ẩm thực quán cà phê Quận 1
DIA_SG02548,Nhà Hàng IPPUDO,Ẩm thực,nhà hàng,10.7797911,106.7038529,"31 Đường Thái Văn Lung, Bến Nghé, Quận 1, Hồ Chí Minh, 71006",Quận 1,Nhà Hàng IPPUDO là nhà hàng tại Quận 1.,Nhà Hàng IPPUDO Ẩm thực nhà hàng Quận 1
DIA_SG02549,Nhà Hàng Shang Palace,Ẩm thực,nhà hàng,10.7807397,106.7038268,"17 Đường Lý Tự Trọng, Bến Nghé, Quận 1, Hồ Chí Minh, 71006",Quận 1,Nhà Hàng Shang Palace là nhà hàng tại Quận 1.,Nhà Hàng Shang Palace Ẩm thực nhà hàng Quận 1
DIA_SG02550,Nhà Hàng Zen,Ẩm thực,nhà hàng,10.7814234,106.705009,"2A1 Đường Chu Mạnh Trinh, Bến Nghé, Quận 1, Hồ Chí Minh, 71006",Quận 1,Nhà Hàng Zen là nhà hàng tại Quận 1.,Nhà Hàng Zen Ẩm thực nhà hàng Quận 1
DIA_SG02551,Tous les Jours,Ẩm thực,quán cà phê,10.7819458,106.7056668,"6 Đường Lê Thánh Tôn, Bến Nghé, Quận 1, Hồ Chí Minh, 71006",Quận 1,Tous les Jours là quán cà phê tại Quận 1.,Tous les Jours Ẩm thực quán cà phê Quận 1
DIA_SG02552,Nhà Hàng Katsu,Ẩm thực,nhà hàng,10.7821981,106.7059216,"2 Đường Lê Thánh Tôn, Bến Nghé, Quận 1, Hồ Chí Minh",Quận 1,Nhà Hàng Katsu là nhà hàng tại Quận 1.,Nhà Hàng Katsu Ẩm thực nhà hàng Quận 1
DIA_SG02553,Nhà Hàng Bishin,Ẩm thực,nhà hàng,10.7823364,106.7058901,"21C Đường Tôn Đức Thắng, Bến Nghé, Quận 1, Hồ Chí Minh",Quận 1,Nhà Hàng Bishin là nhà hàng tại Quận 1.,Nhà Hàng Bishin Ẩm thực nhà hàng Quận 1
DIA_SG02554,Nhà Hàng Riêu Cá Chép,Ẩm thực,nhà hàng,10.782478,106.705707,"23 Đường Tôn Đức Thắng, Bến Nghé, Quận 1, Hồ Chí Minh, 71006",Quận 1,Nhà Hàng Riêu Cá Chép là nhà hàng tại Quận 1.,Nhà Hàng Riêu Cá Chép Ẩm thực nhà hàng Quận 1
DIA_SG02555,Cà Phê Mộc Quán,Ẩm thực,quán cà phê,10.7566475,106.7027713,"Đường Số 3, Phường 4, Quận 4, Hồ Chí Minh, 72813",Quận 4,Cà Phê Mộc Quán là quán cà phê tại Quận 4.,Cà Phê Mộc Quán Ẩm thực quán cà phê Quận 4
