id,name,domain,category_vi,latitude,longitude,address,district,description,search_text
DIA_LS00045,Mer Tea,Ẩm thực,quán cà phê,21.6298668,106.3507637,"Đường Tỉnh Lộ 243, Yên Thịnh, Hữu Lũng, Lạng Sơn, 25611",TP. Lạng Sơn,Mer Tea là quán cà phê tại TP. Lạng Sơn.,Mer Tea Ẩm thực quán cà phê TP. Lạng Sơn
DIA_LS00046,Nhà Nghỉ Ngân Hà,Du lịch,nhà nghỉ,21.9451992,106.7009088,"14 Đường Bắc Sơn, Đồng Đăng, Cao Lộc, Lạng Sơn, 25164",TP. Lạng Sơn,Nhà Nghỉ Ngân Hà là nhà nghỉ tại TP. Lạng Sơn.,Nhà Nghỉ Ngân Hà Du lịch nhà nghỉ TP. Lạng Sơn
DIA_LS00047,Nhà Nghỉ Trường Hưng,Du lịch,nhà nghỉ,21.9494891,106.6961641,"34 Đường Trần Hưng Đạo, Đồng Đăng, Cao Lộc, Lạng Sơn, 25164",TP. Lạng Sơn,Nhà Nghỉ Trường Hưng là nhà nghỉ tại TP. Lạng Sơn.,Nhà Nghỉ Trường Hưng Du lịch nhà nghỉ TP. Lạng Sơn
DIA_LS00048,Trung tâm Thương mại - Chợ Đồng Đăng,Du lịch,trung tâm thương mại,21.9437087,106.7008924,"Quốc Lộ 4A, Đồng Đăng, Cao Lộc, Lạng Sơn, 25164",TP. Lạng Sơn,Trung tâm Thương mại - Chợ Đồng Đăng là trung tâm thương mại tại TP. Lạng Sơn.,Trung tâm Thương mại - Chợ Đồng Đăng Du lịch trung tâm thương mại TP. Lạng Sơn
DIA_LS00049,Chợ Na Sầm,Du lịch,chợ,22.0547175,106.6129763,"Đường Lương Văn Tri, Na Sầm, Văn Lãng, Lạng Sơn, 25206",TP. Lạng Sơn,Chợ Na Sầm là chợ tại TP. Lạng Sơn.,Chợ Na Sầm Du lịch chợ TP. Lạng Sơn
DIA_LS00050,Đền Mẫu Đồng Đăng,Khác,địa điểm,21.9516406,106.6963435,"52 Đường Hoàng Văn Thụ, Đồng Đăng, Cao Lộc, Lạng Sơn, 25164",TP. Lạng Sơn,Đền Mẫu Đồng Đăng là địa điểm tại TP. Lạng Sơn.,Đền Mẫu Đồng Đăng Khác địa điểm TP. Lạng Sơn
DIA_LS00051,Vincom,Du lịch,trung tâm thương mại,21.8479525,106.7577831,"2 Đường Trần Hưng Đạo, Chi Lăng, Lạng Sơn, 25111",TP. Lạng Sơn,Vincom là trung tâm thương mại tại TP. Lạng Sơn.,Vincom Du lịch trung tâm thương mại TP. Lạng Sơn
DIA_LS00052,Nhà nghỉ Hoa Hồng,Du lịch,homestay,21.8486366,106.917521,"Nhà Nghỉ Hoa Hồng, Tỉnh Lộ 237A, Mẫu Sơn, Lộc Bình, Lạng Sơn, 25809",TP. Lạng Sơn,Nhà nghỉ Hoa Hồng là homestay tại TP. Lạng Sơn.,Nhà nghỉ Hoa Hồng Du lịch homestay TP. Lạng Sơn
DIA_LS00053,Khách sạn 9 Gian,Du lịch,khách sạn,21.8493199,106.9174752,"Đường Tỉnh Lộ 241, Mẫu Sơn, Lộc Bình, Lạng Sơn, 25809",TP. Lạng Sơn,Khách sạn 9 Gian là khách sạn tại TP. Lạng Sơn.,Khách sạn 9 Gian Du lịch khách sạn TP. Lạng Sơn
DIA_LS00054,Bùng Binh Hữu Nghị,Du lịch,công viên,21.9591627,106.705563,"QL 1, Đồng Đăng, Cao Lộc, Lạng Sơn, 25164",TP. Lạng Sơn,Bùng Binh Hữu Nghị là công viên tại TP. Lạng Sơn.,Bùng Binh Hữu Nghị Du lịch công viên TP. Lạng Sơn
DIA_LS00055,Công viên tượng đài Lương Văn Tri,Du lịch,công viên,21.863008,106.538841,"Văn Quan, Lạng Sơn",TP. Lạng Sơn,Công viên tượng đài Lương Văn Tri là công viên tại TP. Lạng Sơn.,Công viên tượng đài Lương Văn Tri Du lịch công viên TP. Lạng Sơn
DIA_LS00056,Chợ phiên xã Văn Quan,Du lịch,chợ,21.8622828,106.5377423,"Đường Quốc Lộ 1B, Văn Quan, Lạng Sơn, 25506",TP. Lạng Sơn,Chợ phiên xã Văn Quan là chợ tại TP. Lạng Sơn.,Chợ phiên xã Văn Quan Du lịch chợ TP. Lạng Sơn
DIA_LS00057,Tru by Hilton Lang Son,Du lịch,khách sạn,21.8467685,106.7733495,"Đường Phai Vệ, Mai Pha, Lạng Sơn, 25113",TP. Lạng Sơn,Tru by Hilton Lang Son là khách sạn tại TP. Lạng Sơn.,Tru by Hilton Lang Son Du lịch khách sạn TP. Lạng Sơn
