id,name,domain,category_vi,latitude,longitude,address,district,province_new,description,search_text
TN_00151,Quán ăn chay Phúc Tâm,Ẩm thực,nhà hàng,11.3133139,106.1316569,"Đường Điện Biên Phủ, Hiệp Ninh, Tây Ninh, 80110",Tây Ninh,Tây Ninh,"Quán ăn chay Phúc Tâm là nhà hàng tại Tây Ninh, Tây Ninh.",Quán ăn chay Phúc Tâm Ẩm thực nhà hàng Tây Ninh Tây Ninh
TN_00152,DNTN Trà Hoàn Ngọc 7 Nga Tây Ninh,Ẩm thực,quán bar,11.3169787,106.1290025,"218 Đường Nguyễn Trọng Cát, Hiệp Ninh, Tây Ninh, 80110",Tây Ninh,Tây Ninh,"DNTN Trà Hoàn Ngọc 7 Nga Tây Ninh là quán bar tại Tây Ninh, Tây Ninh.",DNTN Trà Hoàn Ngọc 7 Nga Tây Ninh Ẩm thực quán bar Tây Ninh Tây Ninh
TN_00153,Lò bánh mì Nguyễn Trọng Cát,Ẩm thực,nhà hàng,11.3172008,106.1284504,"241 Đường Nguyễn Trọng Cát, Hiệp Ninh, Tây Ninh, 80110",Tây Ninh,Tây Ninh,"Lò bánh mì Nguyễn Trọng Cát là nhà hàng tại Tây Ninh, Tây Ninh.",Lò bánh mì Nguyễn Trọng Cát Ẩm thực nhà hàng Tây Ninh Tây Ninh
TN_00154,Cafe hạt SALINA,Ẩm thực,quán cà phê,11.3173327,106.1310694,"2 Đường Trường Chinh, Hiệp Ninh, Tây Ninh, 80110",Tây Ninh,Tây Ninh,"Cafe hạt SALINA là quán cà phê tại Tây Ninh, Tây Ninh.",Cafe hạt SALINA Ẩm thực quán cà phê Tây Ninh Tây Ninh
TN_00155,cafe bida Bảo Giọt Đắng,Ẩm thực,quán cà phê,11.3180198,106.1318905,"Đường Lê Duẩn, Ninh Thạnh, Tây Ninh, 80111",Tây Ninh,Tây Ninh,"cafe bida Bảo Giọt Đắng là quán cà phê tại Tây Ninh, Tây Ninh.",cafe bida Bảo Giọt Đắng Ẩm thực quán cà phê Tây Ninh Tây Ninh
TN_00156,Cà phê Thanh Tuyền,Ẩm thực,quán cà phê,11.3199354,106.1307225,"464 Đường Điện Biên Phủ, Ninh Thạnh, Tây Ninh, 80111",Tây Ninh,Tây Ninh,"Cà phê Thanh Tuyền là quán cà phê tại Tây Ninh, Tây Ninh.",Cà phê Thanh Tuyền Ẩm thực quán cà phê Tây Ninh Tây Ninh
TN_00157,Nhà Hàng Sinh Thái Lạc Viên,Ẩm thực,nhà hàng,11.3186514,106.1308924,"Đường Điện Biên Phủ, Hiệp Ninh, Tây Ninh, 80110",Tây Ninh,Tây Ninh,"Nhà Hàng Sinh Thái Lạc Viên là nhà hàng tại Tây Ninh, Tây Ninh.",Nhà Hàng Sinh Thái Lạc Viên Ẩm thực nhà hàng Tây Ninh Tây Ninh
TN_00158,Quán Karaoke Lan Phương,Ẩm thực,quán bar,11.3055685,106.1392394,"Tiệm Hàn Gió Đá Quang, Đường Tỉnh Lộ 781, Bàu Năng, Dương Minh Châu, Tây Ninh, 80208",Dương Minh Châu,Tây Ninh,"Quán Karaoke Lan Phương là quán bar tại Dương Minh Châu, Tây Ninh.",Quán Karaoke Lan Phương Ẩm thực quán bar Dương Minh Châu Tây Ninh
TN_00159,Cafe Domino,Ẩm thực,quán cà phê,11.3073045,106.1341167,"12 Đường 4 Điện Biên Phủ, Ninh Thạnh, Tây Ninh, 80111",Tây Ninh,Tây Ninh,"Cafe Domino là quán cà phê tại Tây Ninh, Tây Ninh.",Cafe Domino Ẩm thực quán cà phê Tây Ninh Tây Ninh
TN_00160,Cà phê Song Thi,Ẩm thực,quán cà phê,11.3062773,106.1324222,"Cửa Hàng Tạp Hóa Thái Hòa, Đường Điện Biên Phủ, Hiệp Ninh, Tây Ninh, 80110",Tây Ninh,Tây Ninh,"Cà phê Song Thi là quán cà phê tại Tây Ninh, Tây Ninh.",Cà phê Song Thi Ẩm thực quán cà phê Tây Ninh Tây Ninh
