id,name,domain,category_vi,latitude,longitude,address,district,province,description,search_text
HN_01270,Cà Phê Đào Đình,Ẩm thực,quán cà phê,21.0738124,105.8152927,"Quay Phim Chụp Ảnh Tuấn Minh, Phố Nhật Chiêu, Nhật Tân, Tây Hồ, Hà Nội, 11209",Hà Nội,Hà Nội,"Cà Phê Đào Đình là quán cà phê tại Hà Nội, Hà Nội.",Cà Phê Đào Đình Ẩm thực quán cà phê Hà Nội Hà Nội
HN_01271,Nhà Hàng Local,Ẩm thực,nhà hàng,21.0353644,105.8530643,"Nhà Hàng Hàn Quốc Santorini Chicken & Soju Pub, 43 Phố Đào Duy Từ, Hà Nội Old Quarter, Hàng Buồm, Hoàn Kiếm, Hà Nội, 11010",Hà Nội,Hà Nội,"Nhà Hàng Local là nhà hàng tại Hà Nội, Hà Nội.",Nhà Hàng Local Ẩm thực nhà hàng Hà Nội Hà Nội
HN_01272,Quán Nướng ABéo,Ẩm thực,nhà hàng,21.0326627,105.8290076,"Dịch Vụ Cầm Đồ, Phố Sơn Tây, Kim Mã, Ba Đình, Hà Nội, 11112",Hà Nội,Hà Nội,"Quán Nướng ABéo là nhà hàng tại Hà Nội, Hà Nội.",Quán Nướng ABéo Ẩm thực nhà hàng Hà Nội Hà Nội
HN_01273,Bún cá Văn,Ẩm thực,nhà hàng,21.0429002,105.8395084,"Quán Bún Cá Bánh Đa Tôm Văn, 174 Phố Quán Thánh, Quán Thánh, Ba Đình, Hà Nội, 11118",Hà Nội,Hà Nội,"Bún cá Văn là nhà hàng tại Hà Nội, Hà Nội.",Bún cá Văn Ẩm thực nhà hàng Hà Nội Hà Nội
HN_01274,Cà Phê 708,Ẩm thực,quán cà phê,21.0800278,105.8172541,"Một Giá - Trung Tâm Sửa Chữa Bảo Dưỡng Xe Ga - Xe Số, 710 Đường Lạc Long Quân, Nhật Tân, Tây Hồ, Hà Nội",Hà Nội,Hà Nội,"Cà Phê 708 là quán cà phê tại Hà Nội, Hà Nội.",Cà Phê 708 Ẩm thực quán cà phê Hà Nội Hà Nội
HN_01275,Cà Phê Gia Đình,Ẩm thực,quán cà phê,21.049061,105.8831298,"Cửa Hàng Đồ Dùng Nhà Bếp Modoo, 1 Ngõ 558 Phố Nguyễn Văn Cừ, Long Biên, Hà Nội, 11812",Hà Nội,Hà Nội,"Cà Phê Gia Đình là quán cà phê tại Hà Nội, Hà Nội.",Cà Phê Gia Đình Ẩm thực quán cà phê Hà Nội Hà Nội
HN_01276,Cà Phê 131,Ẩm thực,quán cà phê,21.0421169,105.8700842,"Thanh Hiệp - Thịt Chó Bắc Chương Dương, 131 Đường Nguyễn Văn Cừ, Ngọc Lâm, Long Biên, Hà Nội",Hà Nội,Hà Nội,"Cà Phê 131 là quán cà phê tại Hà Nội, Hà Nội.",Cà Phê 131 Ẩm thực quán cà phê Hà Nội Hà Nội
HN_01277,VP5 New Epoch 6,Ẩm thực,quán cà phê,20.9628673,105.831567,"New Epoch 6 Coffee, Hoàng Liệt, Hoàng Mai, Hà Nội, 11719",Hà Nội,Hà Nội,"VP5 New Epoch 6 là quán cà phê tại Hà Nội, Hà Nội.",VP5 New Epoch 6 Ẩm thực quán cà phê Hà Nội Hà Nội
HN_01278,Khách Sạn Dragon,Du lịch,khách sạn,21.035148,105.7714799,"Ngõ 60 Dương Khuê, Quận Bắc Từ Liêm, Quận Nam Từ Liêm, Hà Nội, 12014",Hà Nội,Hà Nội,"Khách Sạn Dragon là khách sạn tại Hà Nội, Hà Nội.",Khách Sạn Dragon Du lịch khách sạn Hà Nội Hà Nội
HN_01279,Khách Sạn Hoàng Anh,Du lịch,khách sạn,21.0357833,105.7716425,"Garage Hải Dương, Phố Mai Dịch, Mai Dịch, Cầu Giấy, Hà Nội, 11309",Hà Nội,Hà Nội,"Khách Sạn Hoàng Anh là khách sạn tại Hà Nội, Hà Nội.",Khách Sạn Hoàng Anh Du lịch khách sạn Hà Nội Hà Nội
