id,name,domain,category_vi,latitude,longitude,address,district,description,search_text
H_00750,Thanh Toan Bridge,Du lịch,địa điểm du lịch,16.4667729,107.6427024,"Tỉnh Lộ 3, Thủy Thanh, Hương Thủy, Thừa Thiên Huế, 49607",Hương Thủy,Thanh Toan Bridge là địa điểm du lịch tại Hương Thủy.,Thanh Toan Bridge Du lịch địa điểm du lịch Hương Thủy Huế
H_00751,Anh Phi,Ẩm thực,quán thức ăn nhanh,16.4695935,107.5957557,"Ngoc Huong, Thừa Thiên-Huế",,Anh Phi là quán thức ăn nhanh tại Huế.,Anh Phi Ẩm thực quán thức ăn nhanh  Huế
H_00752,Cherry Restaurant & Coffee,Ẩm thực,nhà hàng,16.469449,107.5969621,"Kiệt 42 Nguyễn Công Trứ, Huế, Thừa Thiên Huế, 49118",Huế,Cherry Restaurant & Coffee là nhà hàng tại Huế.,Cherry Restaurant & Coffee Ẩm thực nhà hàng Huế Huế
H_00753,Banh mi (2026),Ẩm thực,quán thức ăn nhanh,16.4716869,107.5964704,"Đường Nguyễn Công Trứ, Huế, Thừa Thiên Huế, 49118",Huế,Banh mi (2026) là quán thức ăn nhanh tại Huế.,Banh mi (2026) Ẩm thực quán thức ăn nhanh Huế Huế
H_00754,Mixue,Ẩm thực,quán cà phê,16.476673,107.5824043,"Chi Nhánh Công Ty Quang Lộc - Đại Lý Xe Sumoto - Anber, 82 Đường Mai Thúc Loan, Thuận Lộc, Huế, Thừa Thiên Huế, 49112",Huế,Mixue là quán cà phê tại Huế.,Mixue Ẩm thực quán cà phê Huế Huế
H_00755,Hue Sweethouse 2 Homestay,Du lịch,khách sạn,16.4724312,107.5972556,"15 Kiệt 33 Nguyễn Công Trứ, Huế, Thừa Thiên Huế, 49118",Huế,Hue Sweethouse 2 Homestay là khách sạn tại Huế.,Hue Sweethouse 2 Homestay Du lịch khách sạn Huế Huế
H_00756,Bâng Glamping,Ẩm thực,nhà hàng,16.176422,107.6966345,"Hương Phú, Nam Đông, Thừa Thiên Huế",Nam Đông,Bâng Glamping là nhà hàng tại Nam Đông.,Bâng Glamping Ẩm thực nhà hàng Nam Đông Huế
H_00757,ẨM THỰC VỊ HUẾ,Ẩm thực,nhà hàng,16.4637275,107.5742836,"Dịch Vụ Sửa Xe Trung, 18 Đường Ông Ích Khiêm, Thuận Hòa, Huế, Thừa Thiên Huế, 49121",Huế,ẨM THỰC VỊ HUẾ là nhà hàng tại Huế.,ẨM THỰC VỊ HUẾ Ẩm thực nhà hàng Huế Huế
H_00758,Ngam,Ẩm thực,quán cà phê,16.4789538,107.5771522,"Kiệt 292 Đinh Tiên Hoàng, Thuận Lộc, Huế, Thừa Thiên Huế",Huế,Ngam là quán cà phê tại Huế.,Ngam Ẩm thực quán cà phê Huế Huế
H_00759,Boto,Ẩm thực,quán cà phê,16.4767524,107.5767001,"Đường Đoàn Thị Điểm, Thuận Thành, Huế, Thừa Thiên Huế, 49116",Huế,Boto là quán cà phê tại Huế.,Boto Ẩm thực quán cà phê Huế Huế
