id,name,domain,category_vi,latitude,longitude,address,district,description,search_text
TN_00075,House of Cha,Ẩm thực,quán cà phê,21.5714077,105.8121181,"Nhà Thuốc Phượng Lê, Đường Quang Trung, Thịnh Đán, Thái Nguyên, 24122",Thái Nguyên,House of Cha là quán cà phê tại Thái Nguyên.,House of Cha Ẩm thực quán cà phê Thái Nguyên Thái Nguyên
TN_00076,Luong Son Quab,Ẩm thực,nhà hàng,22.1587619,105.5962855,"Bằng Lũng, Chợ Đồn, Bắc Kạn",Chợ Đồn,Luong Son Quab là nhà hàng tại Chợ Đồn.,Luong Son Quab Ẩm thực nhà hàng Chợ Đồn Thái Nguyên
TN_00077,Chợ ký túc xá Samsung Thái NGuyên,Du lịch,chợ truyền thống,21.4194994,105.8973186,"Đồng Tiến, Phổ Yên, Thái Nguyên",Phổ Yên,Chợ ký túc xá Samsung Thái NGuyên là chợ truyền thống tại Phổ Yên.,Chợ ký túc xá Samsung Thái NGuyên Du lịch chợ truyền thống Phổ Yên Thái Nguyên
TN_00078,Khách sạn Harmony,Du lịch,khách sạn,21.4064321,105.8728211,"203 Đường Trường Chinh, Nam Tiến, Phổ Yên, Thái Nguyên, 24716",Phổ Yên,Khách sạn Harmony là khách sạn tại Phổ Yên.,Khách sạn Harmony Du lịch khách sạn Phổ Yên Thái Nguyên
TN_00079,Chợ Chùa Hang,Du lịch,chợ truyền thống,21.6252658,105.8452625,"15 Quốc Lộ 17, Chùa Hang, Thái Nguyên, 24109",Thái Nguyên,Chợ Chùa Hang là chợ truyền thống tại Thái Nguyên.,Chợ Chùa Hang Du lịch chợ truyền thống Thái Nguyên Thái Nguyên
TN_00080,Vườn hoa Trung đoàn 72,Du lịch,công viên,22.1487274,105.8345548,"Phố Đức Xuân, Đức Xuân, Bắc Kạn, 23107",Bắc Kạn,Vườn hoa Trung đoàn 72 là công viên tại Bắc Kạn.,Vườn hoa Trung đoàn 72 Du lịch công viên Bắc Kạn Thái Nguyên
TN_00081,Hong Gâm Homestay,Du lịch,nhà khách/homestay,22.3971662,105.6174777,"Tỉnh Lộ 254, Nam Mẫu, Ba Bể, Bắc Kạn, 23511",Ba Bể,Hong Gâm Homestay là nhà khách/homestay tại Ba Bể.,Hong Gâm Homestay Du lịch nhà khách/homestay Ba Bể Thái Nguyên
TN_00082,Duy Tuyên Ba Bể Homestay,Du lịch,nhà khách/homestay,22.3886939,105.6374581,"Tỉnh Lộ 254, Nam Mẫu, Ba Bể, Bắc Kạn, 23511",Ba Bể,Duy Tuyên Ba Bể Homestay là nhà khách/homestay tại Ba Bể.,Duy Tuyên Ba Bể Homestay Du lịch nhà khách/homestay Ba Bể Thái Nguyên
TN_00083,Luong Thao,Ẩm thực,nhà hàng,21.9003703,105.6392727,"Đường Tỉnh Lộ 268, Chợ Chu, Định Hóa, Thái Nguyên, 24506",Định Hóa,Luong Thao là nhà hàng tại Định Hóa.,Luong Thao Ẩm thực nhà hàng Định Hóa Thái Nguyên
TN_00084,158 Restaurant,Ẩm thực,nhà hàng,21.5881676,105.8381152,"158 Đường Minh Cầu, Phan Đình Phùng, Thái Nguyên, 24124",Thái Nguyên,158 Restaurant là nhà hàng tại Thái Nguyên.,158 Restaurant Ẩm thực nhà hàng Thái Nguyên Thái Nguyên
TN_00085,Highlands Coffee,Ẩm thực,quán cà phê,21.5926361,105.8343437,"64 Đường Hoàng Văn Thụ, Hoàng Văn Thụ, Thái Nguyên, 24116",Thái Nguyên,Highlands Coffee là quán cà phê tại Thái Nguyên.,Highlands Coffee Ẩm thực quán cà phê Thái Nguyên Thái Nguyên
