id,name,domain,category_vi,latitude,longitude,address,district,province_new,description,search_text
LD_00260,BON COI,Du lịch,nhà nghỉ,11.1770981,108.5638583,"Văn Phòng Phẩm-Photocopy Thiên Ân, 113 Đường Thống Nhất, Phan Rí Cửa, Tuy Phong, Bình Thuận, 77216",Tuy Phong,Lâm Đồng,"BON COI là nhà nghỉ tại Tuy Phong, Lâm Đồng.",BON COI Du lịch nhà nghỉ Tuy Phong Lâm Đồng
LD_00261,Vinasea Restaurant,Ẩm thực,nhà hàng,10.946487,108.1993039,"Nhà Hàng Ấn Độ Tai Mahai Indian Restaurant, 63 Đường Nguyễn Đình Chiểu, Hàm Tiến, Phan Thiết, Bình Thuận, 77117",Phan Thiết,Lâm Đồng,"Vinasea Restaurant là nhà hàng tại Phan Thiết, Lâm Đồng.",Vinasea Restaurant Ẩm thực nhà hàng Phan Thiết Lâm Đồng
LD_00262,Huyen Tran II,Ẩm thực,nhà hàng,10.9485766,108.1999671,"Hẻm 69 Nguyễn Đình Chiểu, Hàm Tiến, Phan Thiết, Bình Thuận, 77117",Phan Thiết,Lâm Đồng,"Huyen Tran II là nhà hàng tại Phan Thiết, Lâm Đồng.",Huyen Tran II Ẩm thực nhà hàng Phan Thiết Lâm Đồng
LD_00263,Green Valley Hotel,Du lịch,khách sạn,11.9253627,108.4370453,"55 Đường An Bình, Đà Lạt, Lâm Đồng, 66116",Đà Lạt,Lâm Đồng,"Green Valley Hotel là khách sạn tại Đà Lạt, Lâm Đồng.",Green Valley Hotel Du lịch khách sạn Đà Lạt Lâm Đồng
LD_00264,Com Chay Vegetarian Food,Ẩm thực,nhà hàng,11.9449125,108.4331834,"Đường Hai Bà Trưng, Phường 6, Đà Lạt, Lâm Đồng, 66108",Đà Lạt,Lâm Đồng,"Com Chay Vegetarian Food là nhà hàng tại Đà Lạt, Lâm Đồng.",Com Chay Vegetarian Food Ẩm thực nhà hàng Đà Lạt Lâm Đồng
LD_00265,Trong Drong,Ẩm thực,nhà hàng,11.9497034,108.4352491,"Đại Lý Vé Số Quý Loan, 216 Đường Phan Đình Phùng, Phường 2, Đà Lạt, Lâm Đồng, 66109",Đà Lạt,Lâm Đồng,"Trong Drong là nhà hàng tại Đà Lạt, Lâm Đồng.",Trong Drong Ẩm thực nhà hàng Đà Lạt Lâm Đồng
LD_00266,V Cafe,Ẩm thực,nhà hàng,11.9439217,108.440227,"Cửa Hàng Điện Nước Gia Dụng Thọ Sơn, 2/6 Đường Bùi Thị Xuân, Phường 2, Đà Lạt, Lâm Đồng, 66109",Đà Lạt,Lâm Đồng,"V Cafe là nhà hàng tại Đà Lạt, Lâm Đồng.",V Cafe Ẩm thực nhà hàng Đà Lạt Lâm Đồng
LD_00267,Nhat Ly,Ẩm thực,nhà hàng,11.9458602,108.4348932,"Restaurant De Famille - HNL - Hình Như Là, 94 Đường Phan Đình Phùng, Phường 2, Đà Lạt, Lâm Đồng, 66109",Đà Lạt,Lâm Đồng,"Nhat Ly là nhà hàng tại Đà Lạt, Lâm Đồng.",Nhat Ly Ẩm thực nhà hàng Đà Lạt Lâm Đồng
LD_00268,Nam Quang Hotel,Du lịch,khách sạn,11.935604,108.4407098,"Đường Hà Huy Tập, Đà Lạt, Lâm Đồng, 66116",Đà Lạt,Lâm Đồng,"Nam Quang Hotel là khách sạn tại Đà Lạt, Lâm Đồng.",Nam Quang Hotel Du lịch khách sạn Đà Lạt Lâm Đồng
LD_00269,Narsinghpur,Du lịch,địa điểm du lịch,11.9382957,108.4265514,"Đường Hoàng Văn Thụ, Phường 4, Đà Lạt, Lâm Đồng, 66115",Đà Lạt,Lâm Đồng,"Narsinghpur là địa điểm du lịch tại Đà Lạt, Lâm Đồng.",Narsinghpur Du lịch địa điểm du lịch Đà Lạt Lâm Đồng
LD_00270,Gare de Café,Ẩm thực,quán cà phê,11.9420719,108.4528171,"Đường Nguyễn Trãi, Phường 10, Đà Lạt, Lâm Đồng, 66117",Đà Lạt,Lâm Đồng,"Gare de Café là quán cà phê tại Đà Lạt, Lâm Đồng.",Gare de Café Ẩm thực quán cà phê Đà Lạt Lâm Đồng
LD_00271,V Cafe,Ẩm thực,nhà hàng,11.944445,108.439516,"Cửa Hàng Tạp Hóa Linh, 1/4 Đường Lý Tự Trọng, Phường 2, Đà Lạt, Lâm Đồng, 66109",Đà Lạt,Lâm Đồng,"V Cafe là nhà hàng tại Đà Lạt, Lâm Đồng.",V Cafe Ẩm thực nhà hàng Đà Lạt Lâm Đồng
LD_00272,News & Art Café,Ẩm thực,quán cà phê,11.944873,108.4348706,"Đường Trương Công Định, Phường 2, Đà Lạt, Lâm Đồng, 66109",Đà Lạt,Lâm Đồng,"News & Art Café là quán cà phê tại Đà Lạt, Lâm Đồng.",News & Art Café Ẩm thực quán cà phê Đà Lạt Lâm Đồng
LD_00273,Hai Long Vuong Hotel,Du lịch,khách sạn,11.9387889,108.4266661,"Đường Hoàng Văn Thụ, Phường 4, Đà Lạt, Lâm Đồng, 66115",Đà Lạt,Lâm Đồng,"Hai Long Vuong Hotel là khách sạn tại Đà Lạt, Lâm Đồng.",Hai Long Vuong Hotel Du lịch khách sạn Đà Lạt Lâm Đồng
LD_00274,Tam Chau,Ẩm thực,quán cà phê,11.9534951,108.444722,"Đường Trần Nhân Tông, Phường 1, Đà Lạt, Lâm Đồng, 66106",Đà Lạt,Lâm Đồng,"Tam Chau là quán cà phê tại Đà Lạt, Lâm Đồng.",Tam Chau Ẩm thực quán cà phê Đà Lạt Lâm Đồng
LD_00275,Tam Chau,Ẩm thực,quán cà phê,11.9503039,108.447373,"Đường Trần Nhân Tông, Phường 1, Đà Lạt, Lâm Đồng, 66106",Đà Lạt,Lâm Đồng,"Tam Chau là quán cà phê tại Đà Lạt, Lâm Đồng.",Tam Chau Ẩm thực quán cà phê Đà Lạt Lâm Đồng
LD_00276,Backpacker Beer Club,Ẩm thực,quán bar,11.9444618,108.4342167,"Khách Sạn Mini Phương Thành, Phường 1, Đà Lạt, Lâm Đồng",Đà Lạt,Lâm Đồng,"Backpacker Beer Club là quán bar tại Đà Lạt, Lâm Đồng.",Backpacker Beer Club Ẩm thực quán bar Đà Lạt Lâm Đồng
LD_00277,Le Ky Tea & Coffee,Ẩm thực,quán cà phê,11.950938,108.4338351,"Cửa Hàng Bách Hóa Tổng Hợp Thủy Vân, 242A Đường Phan Đình Phùng, Phường 2, Đà Lạt, Lâm Đồng, 66109",Đà Lạt,Lâm Đồng,"Le Ky Tea & Coffee là quán cà phê tại Đà Lạt, Lâm Đồng.",Le Ky Tea & Coffee Ẩm thực quán cà phê Đà Lạt Lâm Đồng
LD_00278,Windmill Coffee,Ẩm thực,quán cà phê,11.9429682,108.4354973,"Ngân Hàng Sài Gòn Thương Tín-Sacom Bank, Đường Ba Tháng Hai, Phường 1, Đà Lạt, Lâm Đồng, 66110",Đà Lạt,Lâm Đồng,"Windmill Coffee là quán cà phê tại Đà Lạt, Lâm Đồng.",Windmill Coffee Ẩm thực quán cà phê Đà Lạt Lâm Đồng
LD_00279,Mui ne budget hotel,Du lịch,khách sạn,10.9477942,108.2011306,"79B Đường Nguyễn Đình Chiểu, Hàm Tiến, Phan Thiết, Bình Thuận, 77117",Phan Thiết,Lâm Đồng,"Mui ne budget hotel là khách sạn tại Phan Thiết, Lâm Đồng.",Mui ne budget hotel Du lịch khách sạn Phan Thiết Lâm Đồng
LD_00280,La Marina,Du lịch,khách sạn,10.952816,108.2472861,"Hẻm 246 Nguyễn Đình Chiểu, Hàm Tiến, Phan Thiết, Bình Thuận, 77117",Phan Thiết,Lâm Đồng,"La Marina là khách sạn tại Phan Thiết, Lâm Đồng.",La Marina Du lịch khách sạn Phan Thiết Lâm Đồng
LD_00281,Fairy Stream Waterfall,Du lịch,địa điểm du lịch,10.9582685,108.2624722,"Thiện Nghiệp, Phan Thiết, Bình Thuận",Phan Thiết,Lâm Đồng,"Fairy Stream Waterfall là địa điểm du lịch tại Phan Thiết, Lâm Đồng.",Fairy Stream Waterfall Du lịch địa điểm du lịch Phan Thiết Lâm Đồng
LD_00282,Coffee weasels plantation,Du lịch,địa điểm du lịch,11.9348406,108.4672653,"Phường 10, Đà Lạt, Lâm Đồng",Đà Lạt,Lâm Đồng,"Coffee weasels plantation là địa điểm du lịch tại Đà Lạt, Lâm Đồng.",Coffee weasels plantation Du lịch địa điểm du lịch Đà Lạt Lâm Đồng
LD_00283,Sunrise,Ẩm thực,nhà hàng,11.9332587,108.4426471,"Đường Lương Thế Vinh, Đà Lạt, Lâm Đồng, 66116",Đà Lạt,Lâm Đồng,"Sunrise là nhà hàng tại Đà Lạt, Lâm Đồng.",Sunrise Ẩm thực nhà hàng Đà Lạt Lâm Đồng
LD_00284,la casa del latino,Ẩm thực,nhà hàng,10.9516212,108.2110959,"Quần Áo Factory Outlet, Đường Nguyễn Đình Chiểu, Hàm Tiến, Phan Thiết, Bình Thuận, 77117",Phan Thiết,Lâm Đồng,"la casa del latino là nhà hàng tại Phan Thiết, Lâm Đồng.",la casa del latino Ẩm thực nhà hàng Phan Thiết Lâm Đồng
