id,name,domain,category_vi,latitude,longitude,address,district,province_new,description,search_text
LC_00020,Nhà Nghĩ Bình Dân,Du lịch,nhà khách/homestay,21.9442346,103.881369,"Đèo Khau Phạ, Mường Cang, Than Uyên, Lai Châu, 30810",Than Uyên,Lai Châu,"Nhà Nghĩ Bình Dân là nhà khách/homestay tại Than Uyên, Lai Châu.",Nhà Nghĩ Bình Dân Du lịch nhà khách/homestay Than Uyên Lai Châu
LC_00021,H Than Uyen,Du lịch,nhà khách/homestay,21.9587455,103.8781837,"Than Uyên, Lai Châu",Than Uyên,Lai Châu,"H Than Uyen là nhà khách/homestay tại Than Uyên, Lai Châu.",H Than Uyen Du lịch nhà khách/homestay Than Uyên Lai Châu
LC_00022,Bánh cuốn chả,Ẩm thực,nhà hàng,22.4010147,103.4543899,"Đường Trần Hưng Đạo, Đoàn Kết, Lai Châu, 30109",Lai Châu,Lai Châu,"Bánh cuốn chả là nhà hàng tại Lai Châu, Lai Châu.",Bánh cuốn chả Ẩm thực nhà hàng Lai Châu Lai Châu
LC_00023,Cầu Treo Chu Va 8,Du lịch,địa điểm du lịch,22.3396326,103.6695634,"Quốc Lộ 4D, Sơn Bình, Tam Đường, Lai Châu, 30208",Tam Đường,Lai Châu,"Cầu Treo Chu Va 8 là địa điểm du lịch tại Tam Đường, Lai Châu.",Cầu Treo Chu Va 8 Du lịch địa điểm du lịch Tam Đường Lai Châu
LC_00024,Khánh Ly Quán,Ẩm thực,nhà hàng,22.3910435,103.465249,"Tân Phong, Lai Châu",Lai Châu,Lai Châu,"Khánh Ly Quán là nhà hàng tại Lai Châu, Lai Châu.",Khánh Ly Quán Ẩm thực nhà hàng Lai Châu Lai Châu
LC_00025,Cafe Sai gon,Ẩm thực,quán cà phê,21.9468043,103.8812567,"Ủy Ban Nhân Dân Xã Mường Cang, Đèo Khau Phạ, Mường Cang, Than Uyên, Lai Châu, 30810",Than Uyên,Lai Châu,"Cafe Sai gon là quán cà phê tại Than Uyên, Lai Châu.",Cafe Sai gon Ẩm thực quán cà phê Than Uyên Lai Châu
LC_00026,Nhà Nghi Minh Thúc,Du lịch,nhà khách/homestay,21.8843975,103.8748354,"Đường Quốc Lộ 32, Mường Kim, Than Uyên, Lai Châu, 30816",Than Uyên,Lai Châu,"Nhà Nghi Minh Thúc là nhà khách/homestay tại Than Uyên, Lai Châu.",Nhà Nghi Minh Thúc Du lịch nhà khách/homestay Than Uyên Lai Châu
LC_00027,Nam My,Du lịch,khách sạn,22.3978264,103.444519,"Đường Võ Nguyên Giáp, Quyết Tiến, Lai Châu, 30107",Lai Châu,Lai Châu,"Nam My là khách sạn tại Lai Châu, Lai Châu.",Nam My Du lịch khách sạn Lai Châu Lai Châu
LC_00028,Hoan Quan (200k),Du lịch,khách sạn,21.9532393,103.8846113,"Đèo Khau Phạ, Than Uyên, Lai Châu, 30806",Than Uyên,Lai Châu,"Hoan Quan (200k) là khách sạn tại Than Uyên, Lai Châu.",Hoan Quan (200k) Du lịch khách sạn Than Uyên Lai Châu
LC_00029,Việt Thanh,Ẩm thực,quán cà phê,21.8834907,103.8763815,"Đường Quốc Lộ 32, Mường Kim, Than Uyên, Lai Châu, 30816",Than Uyên,Lai Châu,"Việt Thanh là quán cà phê tại Than Uyên, Lai Châu.",Việt Thanh Ẩm thực quán cà phê Than Uyên Lai Châu
LC_00030,Hòn đá Trắng,Du lịch,địa điểm du lịch,22.6939875,102.425152,"Lu Chun County, Honghe Hani and Yi Autonomous Prefecture, Yunnan Province, CHN",Honghe Hani and Yi Autonomous Prefecture,Lai Châu,"Hòn đá Trắng là địa điểm du lịch tại Honghe Hani and Yi Autonomous Prefecture, Lai Châu.",Hòn đá Trắng Du lịch địa điểm du lịch Honghe Hani and Yi Autonomous Prefecture Lai Châu
LC_00031,Tượng đài Bác Hồ với nhân dân các dân tộc tỉnh Lai Châu,Du lịch,địa điểm du lịch,22.3924058,103.4726933,"Tân Phong, Lai Châu",Lai Châu,Lai Châu,"Tượng đài Bác Hồ với nhân dân các dân tộc tỉnh Lai Châu là địa điểm du lịch tại Lai Châu, Lai Châu.",Tượng đài Bác Hồ với nhân dân các dân tộc tỉnh Lai Châu Du lịch địa điểm du lịch Lai Châu Lai Châu
LC_00032,Nhà nghỉ Hương Hộ,Du lịch,nhà khách/homestay,22.5619111,102.5209138,"Xã Mường Tè, Mường Tè, Lai Châu",Mường Tè,Lai Châu,"Nhà nghỉ Hương Hộ là nhà khách/homestay tại Mường Tè, Lai Châu.",Nhà nghỉ Hương Hộ Du lịch nhà khách/homestay Mường Tè Lai Châu
LC_00033,Hương Hộ,Ẩm thực,nhà hàng,22.561843,102.5208286,"Xã Mường Tè, Mường Tè, Lai Châu",Mường Tè,Lai Châu,"Hương Hộ là nhà hàng tại Mường Tè, Lai Châu.",Hương Hộ Ẩm thực nhà hàng Mường Tè Lai Châu
LC_00034,Thác Tác Tình,Du lịch,địa điểm du lịch,22.3476248,103.6134553,"Hồ Thầu, Tam Đường, Lai Châu",Tam Đường,Lai Châu,"Thác Tác Tình là địa điểm du lịch tại Tam Đường, Lai Châu.",Thác Tác Tình Du lịch địa điểm du lịch Tam Đường Lai Châu
LC_00035,Nha hang ngoc khanh,Ẩm thực,quán cà phê,21.9611934,103.8888131,"Quốc Lộ 32, Than Uyên, Lai Châu, 30806",Than Uyên,Lai Châu,"Nha hang ngoc khanh là quán cà phê tại Than Uyên, Lai Châu.",Nha hang ngoc khanh Ẩm thực quán cà phê Than Uyên Lai Châu
LC_00036,Caffe,Ẩm thực,quán cà phê,22.3561316,103.2508396,"Đường Tỉnh Lộ 128, Sìn Hồ, Lai Châu, 30606",Sìn Hồ,Lai Châu,"Caffe là quán cà phê tại Sìn Hồ, Lai Châu.",Caffe Ẩm thực quán cà phê Sìn Hồ Lai Châu
LC_00037,nhà nghì tién tói,Du lịch,nhà khách/homestay,22.3185713,103.6241498,"Agribank, Quốc Lộ 4D, Tam Đường, Lai Châu, 30206",Tam Đường,Lai Châu,"nhà nghì tién tói là nhà khách/homestay tại Tam Đường, Lai Châu.",nhà nghì tién tói Du lịch nhà khách/homestay Tam Đường Lai Châu
LC_00038,Nha nghi ben ho,Du lịch,nhà khách/homestay,21.9547559,103.882201,"Đường Quốc Lộ 279, Than Uyên, Lai Châu, 30806",Than Uyên,Lai Châu,"Nha nghi ben ho là nhà khách/homestay tại Than Uyên, Lai Châu.",Nha nghi ben ho Du lịch nhà khách/homestay Than Uyên Lai Châu
